,diceuterus,dicetuomor
IA-Ax-DWI-16-033963_IM15.png,0.9790814313688728,0.9094904244016534
IA-Ax-DWI-16-033963_IM16.png,0.9818995780625006,0.9254787389112871
IA-Ax-DWI-18-039773_IM14.png,0.9857563549333229,0.7639499327157828
IA-Ax-DWI-18-043435_IM15.png,0.9814721787070119,0.9482346236101977
IA-Ax-DWI-18-043435_IM16.png,0.9801575190962523,0.9626982998151145
IA-Ax-DWI-19-000333_IM16.png,0.9819417217479482,0.9579896973613886
IA-Ax-DWI-19-000333_IM17.png,0.983339579980475,0.9501431726659272
IA-Ax-DWI-19-000399_IM12.png,0.9919828397996854,0.9837053492737663
IA-Ax-DWI-19-000399_IM13.png,0.9911646824627673,0.9889227454293666
IA-Ax-DWI-19-001112_IM12.png,0.9751427218683941,0.9434793407803349
IA-Ax-DWI-19-001112_IM13.png,0.9839497119076261,0.9589092601087459
IA-Ax-DWI-19-002162_IM13.png,0.9668679024509899,0.9645667333672909
IA-Ax-DWI-19-005810_IM19.png,0.98878045531289,0.9440939639754833
IA-Ax-DWI-19-007058_IM10.png,0.9523858991478988,0.8783071807074079
IA-Ax-DWI-19-007195_IM16.png,0.9889485991663606,0.9240333431210328
IA-Ax-DWI-19-007195_IM17.png,0.9699270489781043,0.9493506784998605
IA-Ax-DWI-19-008354_IM12.png,0.974448440845286,0.9617270264176117
IA-Ax-DWI-19-008354_IM13.png,0.966632735181777,0.9632854010103488
IA-Ax-DWI-19-009810_IM14.png,0.9803484144018187,0.9057792731470216
IA-Ax-DWI-19-013907_IM17.png,0.9720952869611382,0.9735531799176521
IA-Ax-DWI-19-013907_IM18.png,0.9651526924967726,0.9571698612234123
IA-Ax-DWI-19-014141_IM13.png,0.9773187455689725,0.9398601128240399
IA-Ax-DWI-19-014319_IM14.png,0.9426905636790588,0.9636997593024169
IA-Ax-DWI-19-014319_IM15.png,0.9793589032799188,0.8911777157939492
IA-Ax-DWI-19-017719_IM13.png,0.9454871858816736,0.9716227411296121
IA-Ax-DWI-19-017719_IM14.png,0.8803165217289611,0.9622089975131001
IA-Ax-DWI-19-018359_IM8.png,0.9812994966803155,0.7707309547281664
IA-Ax-DWI-19-019021_IM13.png,0.9710278915154844,0.942447288518819
IA-Ax-DWI-19-019021_IM22.png,0.0,0.0
IA-Ax-DWI-19-020706_IM6.png,0.9764051219007872,0.9529193804037244
IA-Ax-DWI-19-020706_IM7.png,0.9713147627417787,0.9620549403662567
IA-Ax-DWI-19-023713_IM15.png,0.9801418571940556,0.9539482983237779
IA-Ax-DWI-19-023713_IM16.png,0.9838025056578175,0.9648035041370426
IA-Ax-T2-16-033963_IM15.png,0.9782799140185737,0.9645449032545814
IA-Ax-T2-16-033963_IM16.png,0.9849633991922777,0.9430352832419527
IA-Ax-T2-18-039773_IM14.png,0.9695824972242942,0.9465578695324103
IA-Ax-T2-18-043435_IM15.png,0.9908756591713274,0.9629009349930299
IA-Ax-T2-18-043435_IM16.png,0.9813441839704925,0.965177383719215
IA-Ax-T2-19-000333_IM16.png,0.9820588751762407,0.9474451519335082
IA-Ax-T2-19-000333_IM17.png,0.9774767933682237,0.9651004596467706
IA-Ax-T2-19-000399_IM12.png,0.9898304725415595,0.9796547690910768
IA-Ax-T2-19-000399_IM13.png,0.9873931723514116,0.9763442007864912
IA-Ax-T2-19-001112_IM12.png,0.9819283125305642,0.9173177348828723
